id,product_item_id,product_attribute_value_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,2,8
9,2,9
10,2,10
11,2,11
12,2,12
13,2,13
14,2,14
15,3,15
16,3,16
17,3,17
18,3,18
19,3,19
20,3,20
21,4,21
22,4,22
23,4,23
24,4,24
25,4,25
26,4,26
27,4,27
28,5,28
29,5,29
30,5,30
31,5,31
32,5,32
33,5,33
34,5,34
35,6,35
36,6,36
37,6,37
38,6,38
39,6,39
40,6,40
41,6,41
42,7,42
43,7,43
44,7,44
45,7,45
46,7,46
47,7,47
48,8,48
49,8,49
50,8,50
51,8,51
52,8,52
53,8,53
54,8,54
55,9,55
56,9,56
57,9,57
58,9,58
59,9,59
60,9,60
61,9,61
62,10,62
63,10,63
64,10,64
65,10,65
66,10,66
67,10,67
68,10,68
69,10,69
70,11,70
71,11,71
72,11,72
73,11,73
74,11,74
75,11,75
76,11,76
77,11,77
78,12,78
79,12,79
80,12,80
81,12,81
82,12,82
83,12,83
84,12,84
85,12,85
86,13,86
87,13,87
88,13,88
89,13,89
90,13,90
91,13,91
92,13,92
93,13,93
94,14,94
95,14,95
96,14,96
97,14,97
98,14,98
99,14,99
100,14,100
101,14,101
102,15,102
103,15,103
104,15,104
105,15,105
106,15,106
107,15,107
108,15,108
109,15,109
110,16,110
111,16,111
112,16,112
113,16,113
114,16,114
115,16,115
116,16,116
117,16,117
118,17,118
119,17,119
120,17,120
121,17,121
122,17,122
123,17,123
124,17,124
125,17,125
126,18,126
127,18,127
128,18,128
129,18,129
130,18,130
131,18,131
132,18,132
133,18,133
134,19,134
135,19,135
136,19,136
137,19,137
138,19,138
139,19,139
140,19,140
141,19,141
142,20,142
143,20,143
144,20,144
145,20,145
146,20,146
147,20,147
148,20,148
149,20,149
150,21,150
151,21,151
152,21,152
153,21,153
154,21,154
155,21,155
156,21,156
157,21,157
158,22,158
159,22,159
160,22,160
161,22,161
162,22,162
163,22,163
164,22,164
165,22,165
166,23,166
167,23,167
168,23,168
169,23,169
170,23,170
171,23,171
172,23,172
173,23,173
174,24,174
175,24,175
176,24,176
177,24,177
178,24,178
179,24,179
180,24,180
181,24,181
182,25,182
183,25,183
184,25,184
185,25,185
186,25,186
187,25,187
188,25,188
189,25,189
190,26,190
191,26,191
192,26,192
193,26,193
194,26,194
195,26,195
196,26,196
197,26,197
198,27,198
199,27,199
200,27,200
201,27,201
202,27,202
203,27,203
204,27,204
205,27,205
206,28,206
207,28,207
208,28,208
209,28,209
210,28,210
211,28,211
212,28,212
213,28,213
214,29,214
215,29,215
216,29,216
217,29,217
218,29,218
219,29,219
220,29,220
221,29,221
222,30,222
223,30,223
224,30,224
225,30,225
226,30,226
227,30,227
228,30,228
229,30,229
230,31,230
231,31,231
232,31,232
233,31,233
234,31,234
235,31,235
236,31,236
237,31,237
238,32,238
239,32,239
240,32,240
241,32,241
242,32,242
243,32,243
244,32,244
245,32,245
246,33,246
247,33,247
248,33,248
249,33,249
250,33,250
251,33,251
252,33,252
253,33,253
254,34,254
255,34,255
256,34,256
257,34,257
258,34,258
259,34,259
260,34,260
261,34,261
262,35,262
263,35,263
264,35,264
265,35,265
266,35,266
267,35,267
268,35,268
269,35,269
